"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1923 <= Year >= 2024"",""Oceanic Tsunami = true"",""Probable Tsunami <= Validity >= Definite Tsunami""]"																																													
	1939	4	30	2	55	29.1	3	1	7.9			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-9.295	159.234	10.5	8		3.4	1.5	12	1						1		1			12	1						2		2		
	1939	5	1	5	58		4	1	7			0	"JAPAN"	"NW. HONSHU ISLAND"	40.1	139.5	1.2	25		-1.7	0													27	1			52	2		2	479	3		
	1939	5	8	1	46	53	4	1	6.7			0	"PORTUGAL"	"AZORES"	37.198	-24.356	0.2	2			1																				2				
	1939	12	21	21	0	40	3	1	8			0	"INDONESIA"	"N. MOLUCCAS ISLANDS"	0	123		2											1												2		3		
	1939	12	26	23	57	23.8	4	1	7.8			0	"TURKEY"	"SOUTH BLACK SEA"	39.907	39.586	0.53	11			4													32700	4			100000	4	20	3	120000	4		
	1940	8	1	15	8	24	4	1	7.5			1	"JAPAN"	"W. HOKKAIDO ISLAND"	44.2	139.5	5	62		1.8	1.5	10	1						1	20	1			10	1						2	20	1		
	1940	8	31	7			4	8				0	"NORWAY"	"NORTHERN NORWAY"	65.883	13.167		0			2																				2				
	1941	1	13	16	27	44.7	4	1	7.4			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-4.175	152.071	0.15	3		-3.3	-2.5													4	1						2	1	1		3
	1941	4	15	19	9	56.7	3	1	7.6			0	"MEXICO"	"MEXICO"	18.68	-102.989		0																							3				
	1941	6	26	11	52	3.7	4	1	8			1	"INDIA"	"ANDAMAN SEA, E. COAST INDIA"	11.94	92.626	1.5	2																	1				1		4		4		
	1941	7	7				3	8				0	"SPAIN"	"TENERIFE, CANARY ISLANDS"	28.48	-16.25	6	2								1	1											1	1						
	1941	11	18	16	46		4	1	7.4			0	"JAPAN"	"SEIKAIDO"	32	132.1	1.2	11		0.3	0	2	1						1	27	1			2	1						1	27	1		
	1941	11	25	18	3	57.5	4	1	7.8			0	"ATLANTIC OCEAN"	"AZORES GIBRALTAR FRACTURE ZONE"	37.301	-18.966	0.23	15			2																								
	1941	12	5	20	46	58	4	1	7.6			0	"COSTA RICA"	"COSTA RICA-PANAMA"	8.7	-83.2	0.21	5		-3.3	-3													6	1				3		2		3		
	1941	12	6	21	24	40	4	1	6.9			0	"COSTA RICA"	"COSTA RICA-PANAMA"	8.5	-84	0.12	1		-3.3	-4																				1				
	1942	5					3	0				0	"NEW CALEDONIA"	"NEW CALEDONIA"	-20.6	165	3	2																											
	1942	8	24	22	50	27	4	3	8.2			0	"PERU"	"S. PERU"	-15	-76	2	3		1	1						1		1		1			30	1			25	1		3		3		
	1943	4	6	16	7	15	4	1	8.2			0	"CHILE"	"CENTRAL CHILE"	-30.75	-72	1	12											1					11	1						1		1		
	1943	6	13	5	12	0	4	1	7.1			0	"JAPAN"	"SE. HOKKAIDO ISLAND"	41.2	143.3	0.6	1		-0.7	-0.5																								
	1944	8	20	6	30		4	7		1476		0	"ITALY"	"STROMBOLI ISLAND"	38.789	15.213		2			4								1	1	1										1	1	1		
	1944	10	6	2	34	47.6	3	1	6.7			0	"TURKEY"	"EDREMIT GULF, AEGEAN SEA"	39.509	26.587		1			2								1					30	1						4	5500	4		
	1944	12	7	4	35		4	1	8.1			0	"JAPAN"	"OFF SOUTHEAST COAST KII PENINSULA"	34	137.1	10	156		2.9	2.5	1223	4			2135	4		4	3059	4			1223	4			2135	4		3	29205	4	46950	4
	1945	1	12	18	38		4	1	7.1			0	"JAPAN"	"TOKAIDO"	34.7	137.2	1	7		-0.7	-0.5													2306	4			896	3		4	7221	4		
	1945	2	10	4	57	0	4	1	7.3			0	"JAPAN"	"SANRIKU"	40.9	142.1	0.4	1		-1.3	-1.5													2	1							2	1		
	1945	11	27	21	56	50	4	3	8			2	"PAKISTAN"	"MAKRAN COAST"	24.5	63	17	58		3.9		300	3					25	4					300	3					25	4				
	1946	4	1	12	29	1.3	4	3	8.6			11	"USA"	"UNIMAK ISLAND, AK"	53.492	-162.832	42	621		5.1	4	168	3					26.271	4		3			168	3					26.271	4		3		
	1946	6	23	17	13	19	4	3	7.3			1	"CANADA"	"BRITISH COLUMBIA"	49.87	-124.92	9	5		4.9	2								1					1	1						1				
	1946	8	4	17	51	5	4	1	7.9			0	"DOMINICAN REPUBLIC"	"NORTHEASTERN COAST"	19.25	-69	5	8		2.2		1790	4						3		3			1790	4						3		3		
	1946	8	8	13	28	33.8	4	1	7.5			0	"DOMINICAN REPUBLIC"	"NORTHEASTERN COAST"	19.5	-69.5	0.6	13				75	2											75	2										
	1946	11	13	6			3	6		7044		0	"RUSSIA"	"N. KURIL ISLANDS"	48.092	153.2		0																											
	1946	12	20	19	19	10	4	1	8.3			1	"JAPAN"	"HONSHU: S COAST"	33.123	135.905	6.6	304		2.7	2.5	1362	4						4	1451	4			1362	4						4	11661	4		
	1947	3	25	20	32	15	3	3	7.1			0	"NEW ZEALAND"	"OFF COAST OF NORTH ISLAND"	-38.85	178.87	10	10		3.3	3								1		1										1		1		
	1947	5	17	7	6	0	4	1	6.9			0	"NEW ZEALAND"	"OFF COAST OF NORTH ISLAND"	-38.42	178.88	6	5		2.6																									
	1947	10	6	19	55	37.5	3	3	7.3			0	"GREECE"	"PELOPONNESUS, GREECE"	36.808	21.916	1	1			2													3	1			29	1		4	7800	4		
	1947	11	4	0	9	10	4	1	7			0	"JAPAN"	"W. HOKKAIDO ISLAND"	43.8	141	2	4		1	1								1												1				
	1948	1	24	17	46	43.7	3	1	7.8			0	"PHILIPPINES"	"SULU SEA"	10.714	122.235		5		1	1.5	2	1						1					74	2					3.5	2		3		3
	1948	2	9	12	58	18.4	4	1	7.3			0	"GREECE"	"DODECANESE, KARPATHOS IS."	35.64	27.158	7.3	11			4								1				1								1	573	3	1539	4
	1948	4	17	16	11	0	4	1	7.2			0	"JAPAN"	"TOKAIDO"	33.1	135.6	0.6	3		-0.7	-1																								
	1948	4	22	10	42	47.1	4	1	6.5			0	"GREECE"	"IONIAN SEA"	38.532	20.427	1	1			4													7	1			100	2		3	244	3	2022	4
	1948	6	1	18	58	18	3	1	6.3			0	"INDONESIA"	"OFF NORTHWEST COAST"	6	95		1		-0.5	0																								
	1948	9	8	15	9	0	4	1	7.8			0	"TONGA"	"TONGA TRENCH"	-21	-174	0.1	6		1	1.5																								
	1948	12	4	0	22	49	3	1	6.6			0	"MEXICO"	"MEXICO"	21.182	-106.818		1		1	1.5													4	1			21	1		3		2		
	1948	12	26	7	12	21	3	1	7			0	"CHILE"	"NORTHERN CHILE"	-22.5	-69		1		-0.5	0																								
	1949	1	27	11	0	0	4	1	5.9			0	"RUSSIA"	"KAMCHATKA"	54.6	163.5		1																											
